spname,spindex,totalarea,reservedarea,excludedarea,targetarea,totalocc,reservedocc,excludedocc,targetocc
1,0,5.53434e+07,0,0,0,632,0,0,0
2,1,1.07322e+08,0,0,0,273,0,0,0
3,2,1.07844e+08,0,0,0,359,0,0,0
4,3,4.35247e+08,0,0,0,1206,0,0,0
5,4,1.33393e+08,0,0,0,945,0,0,0
6,5,5.91812e+08,0,0,0,302,0,0,0
7,6,1.64393e+08,0,0,0,408,0,0,0
8,7,1.96055e+06,0,0,0,42,0,0,0
9,8,2.94142e+08,0,0,0,286,0,0,0
10,9,1.04612e+08,0,0,0,227,0,0,0
11,10,7.49419e+07,0,0,0,68,0,0,0
12,11,3.05581e+06,0,0,0,48,0,0,0
13,12,1.09191e+07,0,0,0,17,0,0,0
14,13,1.58346e+07,0,0,0,218,0,0,0
15,14,1.39712e+08,0,0,0,69,0,0,0
16,15,214348,0,0,0,92,0,0,0
17,16,1.17134e+08,0,0,0,1704,0,0,0
18,17,1.16012e+09,0,0,0,2427,0,0,0
19,18,1.62465e+08,0,0,0,1104,0,0,0
20,19,5.81091e+07,0,0,0,2384,0,0,0
21,20,4.84383e+08,0,0,0,1401,0,0,0
22,21,1.83295e+08,0,0,0,748,0,0,0
23,22,3.57987e+07,0,0,0,48,0,0,0
24,23,9.1302e+07,0,0,0,258,0,0,0
25,24,3.00658e+07,0,0,0,35,0,0,0
26,25,6.91751e+06,0,0,0,232,0,0,0
27,26,1.00916e+06,0,0,0,43,0,0,0
28,27,578741,0,0,0,146,0,0,0
