FIPS,STATEFP,COUNTYFP,COUNTYNS,GEOID,GEOIDFQ,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,sum,count,rci,km2,biomass,pixArea,pixArea_type1,propType1,forestPixArea100,forestProp100,forestPixArea120,forestProp120,forestPixArea140,forestProp140,forestPixArea160,forestProp160,forestPixArea180,forestProp180,forestPixArea200,forestProp200,forestPixArea220,forestProp220,forestPixArea240,forestProp240,forestPixArea260,forestProp260,forestPixArea280,forestProp280,forestPixArea300,forestProp300,forestPixArea320,forestProp320,forestPixArea340,forestProp340,forestPixArea360,forestProp360,forestPixArea370,forestProp370,forestPixArea380,forestProp380,forestPixArea400,forestProp400,forestPixArea500,forestProp500,forestPixArea600,forestProp600,forestPixArea700,forestProp700,forestPixArea800,forestProp800,forestPixArea900,forestProp900,forestPixArea910,forestProp910,forestPixArea920,forestProp920,forestPixArea940,forestProp940,forestPixArea950,forestProp950,forestPixArea980,forestProp980,forestPixArea990,forestProp990,forestPixArea,biomass_density,forestBiomass100,forestBiomass120,forestBiomass140,forestBiomass160,forestBiomass180,forestBiomass200,forestBiomass220,forestBiomass240,forestBiomass260,forestBiomass280,forestBiomass300,forestBiomass320,forestBiomass340,forestBiomass360,forestBiomass370,forestBiomass380,forestBiomass400,forestBiomass500,forestBiomass600,forestBiomass700,forestBiomass800,forestBiomass900,forestBiomass910,forestBiomass920,forestBiomass940,forestBiomass950,forestBiomass980,forestBiomass990
31039,31,039,00835841,31039,0500000US31039,Cuming,Cuming County,06,H1,G4020,,,,A,1477563029,10772508,+41.9158651,-096.7885168,73933.0,35.0,60.07,1488335578.1502502,15612.7841796875,25448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.859163784973278e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0016504243948443885,0.0,0.0,74.0,0.002907890600440113,56.0,0.0022005658597925182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,89.7286447108477,0.0,0.0,0.0,0.0,179.4572894216954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3768.6030778556037,0.0,6639.91970860273,5024.804103807472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53069,53,069,01513275,53069,0500000US53069,Wahkiakum,Wahkiakum County,06,H1,G4020,,,,A,680980771,61564427,+46.2946377,-123.4244583,875.0,2.0,54.010000000000005,742545627.0552254,2306747.5,13856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6223.0,0.44911951501154734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3809.0,0.27489896073903003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1408.0,0.10161662817551963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11440.0,201.6387674825175,0.0,0.0,0.0,0.0,0.0,1254798.0500437063,0.0,0.0,0.0,0.0,768042.0653409092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283907.3846153846,0.0,0.0,0.0,0.0,0.0
35011,35,011,00933054,35011,0500000US35011,De Baca,De Baca County,06,H1,G4020,,,,A,6016818946,29090018,+34.3592729,-104.3686961,0.0,0.0,40.8,6045909711.138622,0.0,93894.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.1300615587790486e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31109,31,109,00835876,31109,0500000US31109,Lancaster,Lancaster County,06,H1,G4020,339,30700,,A,2169269688,22850324,+40.7835474,-096.6886584,5834061.0,233.0,77.42,2192120200.1668525,54995.08203125,37094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.6958537768911414e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0,0.013748854262144821,0.0,0.0,310.0,0.008357146708362538,52.0,0.0014018439639833936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,873.0,62.995512063287514,0.0,0.0,0.0,0.0,62.995512063287514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32127.71115227663,0.0,19528.60873961913,3275.7666272909505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31129,31,129,00835886,31129,0500000US31129,Nuckolls,Nuckolls County,06,H1,G4020,,,,A,1489645187,1718484,+40.1764918,-098.0468422,8601.0,18.0,49.8,1491363817.8805053,64512.4765625,24960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0010416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,0.012219551282051282,0.0,0.0,444.0,0.017788461538461538,28.0,0.0011217948717948717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.0,80.33932324097135,0.0,0.0,0.0,0.0,2088.822404265255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24503.49358849626,0.0,35670.659518991284,2249.501050747198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46099,46,099,01265772,46099,0500000US46099,Minnehaha,Minnehaha County,06,H1,G4020,,43620,,A,2089707837,18182409,+43.6674723,-096.7957261,6428250.0,208.0,75.06,2107890220.3333972,10432.8369140625,37244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.6849962410052626e-05,5.0,0.00013424981205026313,0.0,0.0,50.0,0.0013424981205026312,68.0,0.0018257974438835786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,84.13578156502017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.13578156502017,420.67890782510085,0.0,4206.7890782510085,5721.233146421371,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48327,48,327,01383949,48327,0500000US48327,Menard,Menard County,06,H1,G4020,,,,A,2336237980,613559,+30.8852677,-099.8588613,980.0,2.0,32.67,2336851543.095769,100713.3125,34752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,0.004920580110497237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1916.0,0.055133517495395946,0.0,0.0,41.0,0.0011797882136279927,55.0,0.0015826427255985268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2183.0,46.135278286761334,0.0,0.0,0.0,7889.132587036188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88395.19319743471,0.0,1891.5464097572146,2537.440305771873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06091,06,091,00277310,06091,0500000US06091,Sierra,Sierra County,06,H1,G4020,,,,A,2468694578,23299110,+39.5769252,-120.5219926,1752.0,4.0,51.06,2491993498.837587,7564185.0,41391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,0.004976927351356575,0.0,0.0,8349.0,0.20171051677900992,19.0,0.000459036988717354,8013.0,0.19359281003116618,630.0,0.015220700152207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17533.0,0.423594501220072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.4159841511439684e-05,0.0,0.0,2108.0,0.05092894590611485,0.0,0.0,2.0,4.831968302287937e-05,0.0,0.0,0.0,0.0,36861.0,205.20835028892324,0.0,0.0,0.0,0.0,42272.92015951819,0.0,1713284.5165622202,3898.958655489542,1644334.5108651419,129281.26068202165,0.0,0.0,0.0,0.0,3597918.005615691,0.0,0.0,0.0,0.0,0.0,0.0,205.20835028892324,0.0,432579.2024090502,0.0,410.4167005778465,0.0,0.0
21053,21,053,00516873,21053,0500000US21053,Clinton,Clinton County,06,H1,G4020,,,,A,510391738,21636754,+36.7272577,-085.1360977,21328.0,21.0,35.010000000000005,532028190.2625691,393237.0625,8562.0,2.0,0.000233590282644242,2.0,0.000233590282644242,0.0,0.0,0.0,0.0,1.0,0.000116795141322121,4.0,0.000467180565288484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.01039476757766877,3327.0,0.3885774351786966,0.0,0.0,13.0,0.001518336837187573,16.0,0.001868722261153936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3452.0,113.91571914831981,227.83143829663962,0.0,0.0,113.91571914831981,455.66287659327924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10138.499004200463,378997.59760646,0.0,1480.9043489281576,1822.651506373117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39063,39,063,01074044,39063,0500000US39063,Hancock,Hancock County,06,H1,G4020,248,22300,,A,1376118085,6028216,+41.0002170,-083.6659471,1615558.0,121.0,73.72,1382146274.4398808,12631.9931640625,23461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0037935296875666,0.0,0.0,21.0,0.0008951025105494225,5.0,0.00021311964536891012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,109.84341881793478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9776.064274796196,0.0,2306.7117951766304,549.2170940896739,0.0,0.0,0.0,0.0,0.0,0.0,0.0
