id,id2,boundary
31039,31179,10416.0
31039,31173,46148.0
31039,31053,31065.0
31039,31037,1531.0
53069,41007,59701.0
53069,53041,25446.0
53069,41009,15104.0
53069,53049,82031.0
53069,53015,55270.0
35011,35041,63240.0
35011,35027,63143.0
35011,35019,181294.0
35011,35005,85035.0
31109,31131,60333.0
31109,31025,53657.0
31109,31067,79272.0
31109,31155,84547.0
31109,31159,80647.0
31109,31023,431.0
31129,20157,8736.0
31129,31181,80940.0
31129,20089,5473.0
31129,31059,588.0
31129,31035,79999.0
31129,31169,40508.0
46099,46101,72745.0
46099,46087,40209.0
46099,46079,18273.0
46099,46125,4997.0
46099,19119,17838.0
48327,48413,44953.0
48327,48095,52363.0
48327,48267,129888.0
48327,48319,54588.0
06091,06035,30325.0
06091,06115,36236.0
06091,06057,114092.0
06091,06063,170594.0
21053,21231,26865.0
21053,47027,3760.0
21053,21057,13988.0
21053,47137,21025.0
21053,21207,14598.0
39063,39137,37562.0
39063,39175,30583.0
48189,48153,115124.0
48189,48303,52141.0
48189,48437,50285.0
48189,48279,58502.0
48189,48069,11683.0
01027,01121,69301.0
01027,01029,20526.0
01027,01123,65658.0
01027,01111,45364.0
48011,48045,7400.0
48011,48065,52453.0
48011,48437,10069.0
48011,48129,102833.0
39003,39161,29135.0
39003,39011,63729.0
39003,39137,65202.0
13189,13073,44094.0
13189,13181,9090.0
13189,13163,5783.0
13189,13245,14618.0
13189,13301,31774.0
13189,13317,29670.0
55111,55123,19756.0
55111,55025,10946.0
55111,55103,63837.0
55111,55049,36675.0
55111,55021,77509.0
05137,05063,10357.0
05137,05141,16661.0
05137,05129,42973.0
05137,05065,55442.0
05137,05023,9383.0
05137,05005,38336.0
41063,16049,99571.0
41063,16069,31258.0
41063,16003,27070.0
41063,53013,65903.0
41063,41061,159030.0
41063,53003,98998.0
41063,53023,22056.0
41063,41059,35641.0
42007,42019,4791.0
42007,54029,36000.0
42007,42073,60934.0
42007,39029,14684.0
42007,42003,41640.0
42007,42125,26899.0
28061,28101,78754.0
28061,28023,45016.0
28061,28129,47779.0
28061,28153,5207.0
28061,28067,17667.0
29083,29037,27744.0
29083,29015,31701.0
