species,pu,amount
5,31039,179.5
18,31039,3768.6
20,31039,6639.9
21,31039,5024.8
6,53069,1254798.1
11,53069,768042.1
23,53069,283907.4
5,31109,63.0
18,31109,32127.7
20,31109,19528.6
21,31109,3275.8
5,31129,2088.8
18,31129,24503.5
20,31129,35670.7
21,31129,2249.5
17,46099,84.1
18,46099,420.7
20,46099,4206.8
21,46099,5721.2
4,48327,7889.1
17,48327,88395.2
19,48327,1891.5
20,48327,2537.4
5,06091,42272.9
7,06091,1713284.5
8,06091,3899.0
9,06091,1644334.5
10,06091,129281.3
15,06091,3597918.0
22,06091,205.2
24,06091,432579.2
26,06091,410.4
1,21053,227.8
4,21053,113.9
5,21053,455.7
17,21053,10138.5
18,21053,378997.6
20,21053,1480.9
21,21053,1822.7
18,39063,9776.1
20,39063,2306.7
21,39063,549.2
5,48189,195.4
3,01027,93232.7
4,01027,420008.7
17,01027,347251.9
18,01027,947180.4
19,01027,251.8
5,48011,36262.7
18,39003,18804.1
20,39003,2996.3
21,39003,103.3
3,13189,23292.2
4,13189,566861.2
17,13189,26107.7
18,13189,61429.9
19,13189,132415.5
20,13189,1365.1
1,55111,62128.7
17,55111,1804.1
18,55111,882317.8
20,55111,32135.5
21,55111,283356.5
22,55111,7892.9
4,05137,6837.5
5,05137,11594.1
17,05137,89482.3
18,05137,1939675.4
19,05137,594.6
5,41063,17664.1
6,41063,2478007.4
7,41063,2433303.6
9,41063,4636701.5
10,41063,219714.8
12,41063,28534.4
14,41063,35464.2
1,42007,2713.7
4,42007,565.4
17,42007,339.2
18,42007,498077.8
20,42007,15377.7
21,42007,532790.7
22,42007,113.1
3,28061,450.1
4,28061,1226527.8
17,28061,377713.4
18,28061,723022.4
19,28061,375238.1
20,28061,3488.0
5,29083,764.8
7,29083,95.6
17,29083,2007.6
18,29083,247984.6
20,29083,111277.6
21,29083,31261.0
5,08109,492156.5
6,08109,942843.1
7,08109,80986.2
9,08109,1536783.8
10,08109,328230.4
14,08109,14873.7
20,08109,3403.3
22,08109,732909.2
24,08109,2710.0
4,37037,1404468.5
5,37037,274.6
17,37037,438819.2
18,37037,1684565.8
19,37037,1784.9
20,37037,5080.2
5,49033,21023.4
6,49033,24631.6
7,49033,48.1
9,49033,17992.6
10,49033,21119.7
14,49033,288.7
22,49033,183437.9
24,49033,2549.8
26,49033,5195.7
4,40001,1785.9
17,40001,982.2
18,40001,1160714.9
19,40001,8214.9
1,39085,224.3
18,39085,49689.6
20,39085,5271.8
21,39085,279405.8
22,39085,673.0
18,51775,15281.7
1,51121,13569.5
4,51121,652.4
17,51121,40447.7
18,51121,1315984.4
20,51121,1043.8
21,51121,1696.2
4,47065,44359.7
17,47065,67726.9
18,47065,1223738.5
19,47065,7694.1
20,47065,5129.4
5,35035,1549408.5
6,35035,591276.2
7,35035,215481.0
9,35035,310553.4
14,35035,3358.4
22,35035,6618.0
24,35035,36843.6
26,35035,71217.9
5,35003,4567969.9
6,35003,89174.9
7,35003,1834547.4
9,35003,72426.9
22,35003,201.3
24,35003,77942.5
26,35003,161.0
3,01091,267.4
4,01091,1964675.5
5,01091,13282.7
17,01091,75951.9
18,01091,192286.6
19,01091,500551.4
20,01091,39224.0
5,56023,10878.5
6,56023,512498.9
9,56023,2182670.8
10,56023,341642.2
14,56023,170216.8
20,56023,213.3
22,56023,620217.5
24,56023,355.5
26,56023,4692.7
17,29011,2306.5
18,29011,112380.1
20,29011,143238.8
21,29011,5169.6
4,48057,38.9
17,48057,77.9
18,48057,38.9
19,48057,1596.3
20,48057,1207.0
4,51735,7604.9
17,51735,2724.2
18,51735,4653.8
19,51735,1589.1
20,51735,794.5
1,54075,46571.4
2,54075,30489.2
17,54075,22113.0
18,54075,2892114.5
20,54075,23955.8
21,54075,3216103.7
18,48077,124601.3
20,48077,2116.5
4,51095,251458.8
17,51095,35880.3
18,51095,369033.6
19,51095,12157.8
20,51095,7858.1
21,51095,148.3
5,31101,3715.7
6,31101,148.6
7,31101,1634.9
20,31101,26083.9
5,31137,977.7
18,31137,888.8
20,31137,13332.1
21,31137,533.3
3,22019,382298.7
4,22019,332672.0
17,22019,180401.7
18,22019,24813.4
19,22019,369459.3
20,22019,30295.4
28,22019,9305.0
4,22111,1673764.6
17,22111,164067.3
18,22111,90010.6
19,22111,362480.6
20,22111,4110.4
4,40135,1783.6
17,40135,6955.9
18,40135,1045711.1
